Accession,SRA_Accession,Submitters,Release_Date,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
NC_023009,,"Kvachadze,L., Balarjishvili,N., Meskhi,T., Tevdoradze,E., Skhirtladze,N., Pataridze,T., Adamia,R., Topuria,T., Kutter,E., Rohde,C., Kutateladze,M., Nikolaishvili,N., Raya,R., Stewart,C.R., Villegas,A., Kropinski,A.M.",2013-12-09T00:00:00Z,Staphylococcus virus Sb1,Kayvirus,Herelleviridae,dsDNA,127188,RefSeq,complete,,,1,,,Staphylococcus aureus,,,,"Staphylococcus phage Sb-1, complete genome"
NC_022090,,"Vandersteegen,K., Kropinski,A.M., Nash,J.H.E., Ackermann,H.-W., Noben,J.-P., Hermans,K., Lavigne,R.",2013-08-17T00:00:00Z,Staphylococcus virus Remus,Silviavirus,Herelleviridae,dsDNA,134643,RefSeq,complete,,,,,,Staphylococcus aureus,,,,"Staphylococcus phage vB_SauM_Remus, complete genome"
NC_021801,,"Chang,Y., Lee,J.H., Shin,H., Heu,S., Ryu,S., Lee,J.-H.",2013-07-23T00:00:00Z,Staphylococcus phage SA12,Phietavirus,Siphoviridae,dsDNA,42902,RefSeq,complete,,,1,,,Staphylococcus aureus,,,,"Staphylococcus phage SA12, complete genome"
NC_021863,,"Shin,H., Lee,J.-H., Chang,Y., Ryu,S.",2013-07-23T00:00:00Z,Staphylococcus phage SA13,Phietavirus,Siphoviridae,dsDNA,42652,RefSeq,complete,,,,,,Staphylococcus aureus,,,,"Staphylococcus phage SA13, complete genome"
NC_021773,,"Jia,H., Bai,Q., Yang,Y., Yao,H., Zhang,W., Lu,C.",2013-07-22T00:00:00Z,Staphylococcus phage JS01,Biseptimavirus,Siphoviridae,dsDNA,43458,RefSeq,complete,,,1,,,Staphylococcus aureus,,,,"Staphylococcus phage JS01, complete genome"
NC_021323,,"van der Mee-Marquet,N., Valentin,A.-S., Corvaglia,A.-R., Bertrand,X., Girard,M., Kluytmans,J., Donnio,P.-Y., Quentin,R., Schrenzel,J., Francois,P.",2013-06-03T00:00:00Z,Staphylococcus phage StauST398-2,Triavirus,Siphoviridae,dsDNA,45572,RefSeq,complete,,,,France,,Staphylococcus aureus,,2011-11-16,,"Staphylococcus phage StauST398-2, complete genome"
NC_021326,,"van der Mee-Marquet,N., Corvaglia,A.R., Valentin,A.S., Hernandez,D., Bertrand,X., Girard,M., Kluytmans,J., Donnio,P.Y., Quentin,R., Francois,P., Valentin,A.-S., Corvaglia,A.-R., Donnio,P.-Y., Schrenzel,J.",2013-06-03T00:00:00Z,Staphylococcus phage StauST398-1,Phietavirus,Siphoviridae,dsDNA,45242,RefSeq,complete,B,,1,France,,Staphylococcus aureus,,2011-11-16,,"Staphylococcus phage StauST398-1, complete genome"
NC_021332,,"van der Mee-Marquet,N., Valentin,A.-S., Corvaglia,A.-R., Bertrand,X., Girard,M., Kluytmans,J., Donnio,P.-Y., Quentin,R., Schrenzel,J., Francois,P.",2013-06-03T00:00:00Z,Staphylococcus phage StauST398-3,Phietavirus,Siphoviridae,dsDNA,41392,RefSeq,complete,A,,,France,,Staphylococcus aureus,,2011-11-16,,"Staphylococcus phage StauST398-3, complete genome"
NC_020877,,"Vandersteegen,K., Kropinski,A.M., Nash,J.H., Noben,J.P., Hermans,K., Lavigne,R., Nash,J.H.E., Ackermann,H.-W., Noben,J.-P.",2013-04-01T00:00:00Z,Staphylococcus virus Remus,Silviavirus,Herelleviridae,dsDNA,131332,RefSeq,complete,,,1,,,Staphylococcus aureus,,,,"Staphylococcus phage vB_SauM_Romulus, complete genome"
NC_019726,,"Cui,Z., Song,Z., Wang,Y., Zeng,L., Shen,W., Wang,Z., Li,Q., He,P., Qin,J., Guo,X.",2012-12-07T00:00:00Z,Staphylococcus virus JD7,Kayvirus,Herelleviridae,dsDNA,141836,RefSeq,complete,,,1,China: Shanghai,,Staphylococcus aureus,,,,"Staphylococcus phage JD007, complete genome"
NC_019511,,"Kim,M.S., Myung,H., Cha,K.E., Hong,S.S.",2012-11-21T00:00:00Z,Staphylococcus virus SA11,Silviavirus,Herelleviridae,dsDNA,136326,RefSeq,complete,,,1,South Korea,,Staphylococcus aureus,,2009-08-10,,"Staphylococcus phage SA11, complete genome"
NC_019513,,"Lee,Y.-D., Park,J.-H.",2012-11-21T00:00:00Z,Staphylococcus phage SMSAP5,Triavirus,Siphoviridae,dsDNA,45552,RefSeq,complete,,,,South Korea,,Staphylococcus aureus,,2010-10-05,,"Staphylococcus phage SMSAP5, complete genome"
NC_019448,,"Gu,J., Liu,X., Lu,R., Li,Y., Song,J., Lei,L., Sun,C., Feng,X., Du,C., Yu,H., Yang,Y., Han,W.",2012-11-16T00:00:00Z,Staphylococcus virus G15,Kayvirus,Herelleviridae,dsDNA,139806,RefSeq,complete,,,1,,,Staphylococcus aureus,,,,"Staphylococcus phage GH15, complete genome"
NC_017968,,"Lee,Y.-D., Park,J.-H.",2012-05-29T00:00:00Z,Staphylococcus phage TEM123,Phietavirus,Siphoviridae,dsDNA,43786,RefSeq,complete,,,,South Korea,,Staphylococcus aureus,,2011-01-10,,"Staphylococcus phage TEM123, complete genome"
NC_016565,,"Uchiyama,J., Takemura,I., Matsuzaki,S., Daibata,M.",2012-01-10T00:00:00Z,Staphylococcus virus S24-1,Rosenblumvirus,Podoviridae,dsDNA,18168,RefSeq,complete,,,,,,Staphylococcus aureus,,,,"Staphylococcus phage S24-1, complete genome"
NC_014460,,"Rahman,M., Kim,S., Kim,S.-M., Kim,J.",2010-08-25T00:00:00Z,Staphylococcus virus SAP26,Phietavirus,Siphoviridae,dsDNA,41207,RefSeq,complete,,,,,,Staphylococcus aureus,,,,"Staphylococcus phage SAP-26, complete genome"
NC_013195,,"Young,R.F., Summers,E.J.",2009-09-02T00:00:00Z,Staphylococcus phage P954,Biseptimavirus,Siphoviridae,dsDNA,40761,RefSeq,complete,,,,India,,Staphylococcus aureus,,2002-02-19,,"Staphylococcus phage P954, complete genome"
NC_012784,,"Ma,X.X., Luo,E.J., Ito,t., Hiramatsu,K.",2009-06-08T00:00:00Z,Staphylococcus phage phiPVL-CN125,Biseptimavirus,Siphoviridae,dsDNA,44492,RefSeq,complete,,,,,,Staphylococcus aureus,,,,"Staphylococcus phage phiPVL-CN125, complete genome"
NC_011612,,"Garcia,P., Martinez,B., Obeso,J.M., Lavigne,R., Lurz,R., Rodriguez,A., Obeso,J.",2008-12-01T00:00:00Z,Staphylococcus virus IPLA35,Triavirus,Siphoviridae,dsDNA,45344,RefSeq,complete,,,1,,,Staphylococcus aureus,,,,"Staphylococcus phage phiSauS-IPLA35, complete genome"
NC_011614,,"Garcia,P., Martinez,B., Obeso,J.M., Lavigne,R., Lurz,R., Rodriguez,A., Obeso,J.",2008-12-01T00:00:00Z,Staphylococcus virus IPLA88,Phietavirus,Siphoviridae,dsDNA,42526,RefSeq,complete,,,1,,,Staphylococcus aureus,,,,"Staphylococcus phage phiSauS-IPLA88, complete genome"
NC_011344,,"Ma,X.X., Ito,T., Kondo,Y., Cho,M., Yoshizawa,Y., Kaneko,J., Katai,A., Higashiide,M., Li,S., Hiramatsu,K.",2008-10-09T00:00:00Z,Staphylococcus phage phi2958PVL,Triavirus,Siphoviridae,dsDNA,47342,RefSeq,complete,,,1,,,Staphylococcus aureus,,,,"Staphylococcus phage phi2958PVL, complete genome"
NC_010808,,"Hoshiba,H., Uchiyama,J., Kato,S., Ujihara,T., Muraoka,A., Daibata,M., Wakiguchi,H., Matsuzaki,S.",2008-06-05T00:00:00Z,Staphylococcus virus phiMR25,Phietavirus,Siphoviridae,dsDNA,44342,RefSeq,complete,,,1,,,Staphylococcus aureus,,,,"Staphylococcus phage phiMR25, complete genome"
NC_010147,,"Matsuzaki,S., Yasuda,M., Nishikawa,H., Kuroda,M., Ujihara,T., Shuin,T., Shen,Y., Jin,Z., Fujimoto,S., Nasimuzzaman,M.D., Wakiguchi,H., Sugihara,S., Sugiura,T., Koda,S., Muraoka,A., Imai,S., Hoshiba,H.",2007-12-11T00:00:00Z,Staphylococcus virus phiMR11,Phietavirus,Siphoviridae,dsDNA,43011,RefSeq,complete,,,1,,,Staphylococcus aureus,,,,"Staphylococcus phage phiMR11, complete genome"
NC_009875,,"Son,J.S., Lee,S.J., Jun,S.Y., Yoon,S.J., Kang,S.H., Paik,H.R., Kang,J.O., Choi,Y.J.",2007-09-28T00:00:00Z,Staphylococcus virus SAP2,Rosenblumvirus,Podoviridae,dsDNA,17938,RefSeq,complete,,,1,South Korea,,Staphylococcus aureus,,,,"Staphylococcus phage SAP-2, complete genome"
NC_009526,,"Christie,G.E., Matthews,A.M., King,D.G., Lane,K.D., Olivarez,N.P., Tallent,S.M., Gill,S.R., Novick,R.P., Langston,T.B., Moran,R.G., King,D.R.",2007-06-07T00:00:00Z,Staphylococcus virus 80alpha,Phietavirus,Siphoviridae,dsDNA,43864,RefSeq,complete,,,2,,,Staphylococcus aureus,,,,"Staphylococcus phage 80alpha, complete genome"
NC_008798,,"Sawada,J., Sugai,M.",2007-01-17T00:00:00Z,Staphylococcus virus phiETA2,Phietavirus,Siphoviridae,dsDNA,43265,RefSeq,complete,,,,,,Staphylococcus aureus,,,,"Staphylococcus phage phiETA2, complete genome"
NC_008799,,"Sawada,J., Sugai,M.",2007-01-17T00:00:00Z,Staphylococcus virus phiETA3,Phietavirus,Siphoviridae,dsDNA,43282,RefSeq,complete,,,,,,Staphylococcus aureus,,,,"Staphylococcus phage phiETA3, complete genome"
NC_008689,,"Ma,X.X., Ito,T., Chongtrakool,P., Hiramatsu,K.",2006-12-15T00:00:00Z,Staphylococcus virus 108PVL,Biseptimavirus,Siphoviridae,dsDNA,44857,RefSeq,complete,,,1,,,Staphylococcus aureus,,,,"Staphylococcus phage phiPVL108, complete genome"
NC_007045,,"Kwan,T., Liu,J., DuBow,M., Gros,P., Pelletier,J.",2005-05-23T00:00:00Z,Staphylococcus phage PT1028,,,dsDNA,15603,RefSeq,complete,,,1,,,Staphylococcus aureus,,,,"Staphylococcus phage PT1028, complete genome"
