organism	accession	technology	k	coverage	seed	decoder_arm	n_reads	n_contigs	asm_contigs_ge_min	asm_max_contig	asm_total_bp	quast_contigs	total_length	N50	largest_contig	NGA50	nga50_status	NA50	largest_alignment	genome_fraction	duplication_ratio	misassemblies	unaligned_contigs	unaligned_length	outcome	wall_seconds	status
Lambda	NC_001416	illumina	15	10	42	kmer	3230	2015	66	4386	151681	66.0	83440.0	1426.0	4386.0	2185.0	measured	1426.0	4386.0	96.977	1.774	0.0	NA	0.0	partial	14.993	ok
Lambda	NC_001416	illumina	15	10	123	kmer	3230	2039	64	4389	152460	64.0	84225.0	1520.0	4389.0	2135.0	measured	1520.0	4389.0	95.419	1.82	0.0	NA	0.0	partial	5.073	ok
Lambda	NC_001416	illumina	15	10	456	kmer	3230	1927	72	3926	149611	72.0	86601.0	1436.0	3926.0	1677.0	measured	1436.0	3926.0	97.839	1.825	0.0	NA	0.0	partial	8.949	ok
Lambda	NC_001416	illumina	15	30	42	kmer	9690	5530	18	11296	253286	18.0	96648.0	9386.0	11296.0	11024.0	measured	9386.0	11296.0	99.748	1.998	0.0	NA	0.0	substantial	28.806	ok
Lambda	NC_001416	illumina	15	30	123	kmer	9690	5568	18	11296	254222	18.0	96493.0	9344.0	11296.0	11024.0	measured	9344.0	11296.0	99.687	1.996	0.0	NA	0.0	substantial	31.168	ok
Lambda	NC_001416	illumina	15	30	456	kmer	9690	5367	16	13408	248583	16.0	96875.0	10341.0	13408.0	11296.0	measured	10341.0	13408.0	99.678	2.004	0.0	NA	0.0	substantial	20.544	ok
Lambda	NC_001416	illumina	15	50	42	kmer	16150	9193	18	11296	356727	18.0	96685.0	9344.0	11296.0	11024.0	measured	9344.0	11296.0	99.676	2.0	0.0	NA	0.0	substantial	84.26	ok
Lambda	NC_001416	illumina	15	50	123	kmer	16150	8978	18	11296	350666	18.0	96335.0	9344.0	11296.0	11024.0	measured	9344.0	11296.0	99.687	1.992	0.0	NA	0.0	substantial	83.689	ok
Lambda	NC_001416	illumina	15	50	456	kmer	16150	8956	17	13408	350380	17.0	96668.0	9344.0	13408.0	11296.0	measured	9344.0	13408.0	99.678	2.0	0.0	NA	0.0	substantial	44.929	ok
Lambda	NC_001416	illumina	15	100	42	kmer	32300	17823	18	11296	600562	18.0	96560.0	9344.0	11296.0	11024.0	measured	9344.0	11296.0	99.68	1.997	0.0	NA	0.0	substantial	130.565	ok
Lambda	NC_001416	illumina	15	100	123	kmer	32300	17768	18	11296	598748	18.0	96720.0	9344.0	11296.0	11024.0	measured	9344.0	11296.0	99.687	2.0	0.0	NA	0.0	substantial	193.005	ok
Lambda	NC_001416	illumina	15	100	456	kmer	32300	17526	18	11296	591612	18.0	96546.0	9344.0	11296.0	11024.0	measured	9344.0	11296.0	99.678	1.997	0.0	NA	0.0	substantial	199.431	ok
Lambda	NC_001416	illumina	21	10	42	kmer	3230	2004	69	3635	173005	69.0	82016.0	1223.0	3635.0	2161.0	measured	1223.0	3635.0	96.029	1.761	0.0	NA	0.0	partial	13.989	ok
Lambda	NC_001416	illumina	21	10	123	kmer	3230	2017	68	3079	173617	68.0	84775.0	1547.0	3079.0	1892.0	measured	1547.0	3079.0	96.165	1.817	0.0	NA	0.0	partial	5.177	ok
Lambda	NC_001416	illumina	21	10	456	kmer	3230	1907	65	3615	169756	65.0	84589.0	1582.0	3615.0	2238.0	measured	1582.0	3615.0	96.322	1.811	0.0	NA	0.0	partial	6.696	ok
Lambda	NC_001416	illumina	21	30	42	kmer	9690	5444	3	48058	312168	3.0	96527.0	31888.0	48058.0	48058.0	measured	31888.0	48058.0	99.891	1.992	0.0	NA	0.0	near_complete	34.167	ok
Lambda	NC_001416	illumina	21	30	123	kmer	9690	5486	2	48125	313326	2.0	96186.0	48125.0	48125.0	48125.0	measured	48125.0	48125.0	99.951	1.984	0.0	NA	0.0	near_complete	22.778	ok
Lambda	NC_001416	illumina	21	30	456	kmer	9690	5276	2	48464	305758	2.0	96581.0	48464.0	48464.0	48464.0	measured	48464.0	48464.0	99.922	1.993	0.0	NA	0.0	near_complete	23.612	ok
Lambda	NC_001416	illumina	21	50	42	kmer	16150	9030	2	48482	453943	2.0	96964.0	48482.0	48482.0	48482.0	measured	48482.0	48482.0	99.959	2.0	0.0	NA	0.0	near_complete	73.466	ok
Lambda	NC_001416	illumina	21	50	123	kmer	16150	8843	2	48500	446074	2.0	96634.0	48500.0	48500.0	48500.0	measured	48500.0	48500.0	99.996	1.992	0.0	NA	0.0	near_complete	74.213	ok
Lambda	NC_001416	illumina	21	50	456	kmer	16150	8833	2	48479	446236	2.0	96596.0	48479.0	48479.0	48479.0	measured	48479.0	48479.0	99.953	1.993	0.0	NA	0.0	near_complete	39.288	ok
Lambda	NC_001416	illumina	21	100	42	kmer	32300	17527	2	48486	789555	2.0	96972.0	48486.0	48486.0	48486.0	measured	48486.0	48486.0	99.967	2.0	0.0	NA	0.0	near_complete	127.216	ok
Lambda	NC_001416	illumina	21	100	123	kmer	32300	17500	2	48500	787472	2.0	96653.0	48500.0	48500.0	48500.0	measured	48500.0	48500.0	99.996	1.993	0.0	NA	0.0	near_complete	212.073	ok
Lambda	NC_001416	illumina	21	100	456	kmer	32300	17255	2	48488	778245	2.0	96617.0	48488.0	48488.0	48488.0	measured	48488.0	48488.0	99.971	1.993	0.0	NA	0.0	near_complete	197.697	ok
Lambda	NC_001416	illumina	31	10	42	kmer	3230	2015	77	2594	206955	77.0	75406.0	1008.0	2594.0	1316.0	measured	1008.0	2594.0	91.974	1.69	0.0	NA	0.0	partial	11.536	ok
Lambda	NC_001416	illumina	31	10	123	kmer	3230	2021	73	2762	207345	73.0	80337.0	1322.0	2762.0	1616.0	measured	1322.0	2762.0	94.74	1.748	0.0	NA	0.0	partial	14.088	ok
Lambda	NC_001416	illumina	31	10	456	kmer	3230	1886	73	2914	201096	73.0	80078.0	1252.0	2914.0	1468.0	measured	1252.0	2914.0	94.105	1.754	0.0	NA	0.0	partial	4.971	ok
Lambda	NC_001416	illumina	31	30	42	kmer	9690	5357	3	48058	403732	3.0	96537.0	31888.0	48058.0	48058.0	measured	31888.0	48058.0	99.891	1.993	0.0	NA	0.0	near_complete	27.016	ok
Lambda	NC_001416	illumina	31	30	123	kmer	9690	5403	2	48481	405320	2.0	96545.0	48481.0	48481.0	48481.0	measured	48481.0	48481.0	99.957	1.991	0.0	NA	0.0	near_complete	20.408	ok
Lambda	NC_001416	illumina	31	30	456	kmer	9690	5191	3	48464	394550	3.0	96953.0	37338.0	48464.0	48464.0	measured	37338.0	48464.0	99.922	2.001	0.0	NA	0.0	near_complete	19.375	ok
Lambda	NC_001416	illumina	31	50	42	kmer	16150	8878	2	48482	605662	2.0	96964.0	48482.0	48482.0	48482.0	measured	48482.0	48482.0	99.959	2.0	0.0	NA	0.0	near_complete	75.002	ok
Lambda	NC_001416	illumina	31	50	123	kmer	16150	8717	2	48145	594914	2.0	96280.0	48145.0	48145.0	48145.0	measured	48145.0	48145.0	99.996	1.985	0.0	NA	0.0	near_complete	39.849	ok
Lambda	NC_001416	illumina	31	50	456	kmer	16150	8688	2	48479	594590	2.0	96599.0	48479.0	48479.0	48479.0	measured	48479.0	48479.0	99.953	1.993	0.0	NA	0.0	near_complete	73.849	ok
Lambda	NC_001416	illumina	31	100	42	kmer	32300	17254	2	48486	1084477	2.0	96972.0	48486.0	48486.0	48486.0	measured	48486.0	48486.0	99.967	2.0	0.0	NA	0.0	near_complete	126.28	ok
Lambda	NC_001416	illumina	31	100	123	kmer	32300	17215	2	48500	1080763	2.0	96652.0	48500.0	48500.0	48500.0	measured	48500.0	48500.0	99.996	1.993	0.0	NA	0.0	near_complete	148.63	ok
Lambda	NC_001416	illumina	31	100	456	kmer	32300	16985	2	48488	1068575	2.0	96628.0	48488.0	48488.0	48488.0	measured	48488.0	48488.0	99.971	1.993	0.0	NA	0.0	near_complete	128.317	ok
Lambda	NC_001416	ont	11	10	42	kmer	45	48452	0	239	892677	NA	NA	NA	NA	NA	no_contigs_ge_min	NA	NA	NA	NA	NA	NA	NA	degenerate	25.723	ok
Lambda	NC_001416	ont	11	10	123	kmer	42	47991	0	317	891739	NA	NA	NA	NA	NA	no_contigs_ge_min	NA	NA	NA	NA	NA	NA	NA	degenerate	14.769	ok
Lambda	NC_001416	ont	11	10	456	kmer	48	52146	0	201	942862	NA	NA	NA	NA	NA	no_contigs_ge_min	NA	NA	NA	NA	NA	NA	NA	degenerate	17.599	ok
Lambda	NC_001416	ont	11	30	42	kmer	139	149115	0	338	2335582	NA	NA	NA	NA	NA	no_contigs_ge_min	NA	NA	NA	NA	NA	NA	NA	degenerate	71.466	ok
Lambda	NC_001416	ont	11	30	123	kmer	120	152022	0	224	2391468	NA	NA	NA	NA	NA	no_contigs_ge_min	NA	NA	NA	NA	NA	NA	NA	degenerate	109.908	ok
Lambda	NC_001416	ont	11	30	456	kmer	122	141305	0	241	2227477	NA	NA	NA	NA	NA	no_contigs_ge_min	NA	NA	NA	NA	NA	NA	NA	degenerate	81.525	ok
Lambda	NC_001416	ont	11	50	42	kmer	219	252216	0	273	3701990	NA	NA	NA	NA	NA	no_contigs_ge_min	NA	NA	NA	NA	NA	NA	NA	degenerate	153.533	ok
Lambda	NC_001416	ont	11	50	123	kmer	204	254984	0	239	3755780	NA	NA	NA	NA	NA	no_contigs_ge_min	NA	NA	NA	NA	NA	NA	NA	degenerate	127.453	ok
Lambda	NC_001416	ont	11	50	456	kmer	196	242006	0	244	3561439	NA	NA	NA	NA	NA	no_contigs_ge_min	NA	NA	NA	NA	NA	NA	NA	degenerate	122.423	ok
Lambda	NC_001416	ont	11	100	42	kmer	416	417455	0	321	5787609	NA	NA	NA	NA	NA	no_contigs_ge_min	NA	NA	NA	NA	NA	NA	NA	degenerate	608.089	ok
Lambda	NC_001416	ont	11	100	123	kmer	422	428664	0	252	5938921	NA	NA	NA	NA	NA	no_contigs_ge_min	NA	NA	NA	NA	NA	NA	NA	degenerate	369.583	ok
Lambda	NC_001416	ont	11	100	456	kmer	406	423747	0	322	5873233	NA	NA	NA	NA	NA	no_contigs_ge_min	NA	NA	NA	NA	NA	NA	NA	degenerate	365.724	ok
Lambda	NC_001416	ont	15	10	42	kmer	45	25429	2	4481	901025	2.0	8962.0	4481.0	4481.0	NA	censored_no_alignment	NA	NA	NA	NA	NA	NA	8962.0	degenerate	37.947	ok
Lambda	NC_001416	ont	15	10	123	kmer	42	24614	11	7043	885917	11.0	32197.0	3540.0	7043.0	NA	censored_no_alignment	NA	NA	NA	NA	NA	NA	32197.0	degenerate	14.184	ok
Lambda	NC_001416	ont	15	10	456	kmer	48	27609	0	364	957168	NA	NA	NA	NA	NA	no_contigs_ge_min	NA	NA	NA	NA	NA	NA	NA	degenerate	16.548	ok
Lambda	NC_001416	ont	15	30	42	kmer	139	72100	36	4090	2356357	36.0	35192.0	1017.0	4090.0	545.0	measured	707.0	1369.0	50.744	1.096	0.0	NA	8179.0	partial	90.991	ok
Lambda	NC_001416	ont	15	30	123	kmer	120	68494	73	4283	2321037	73.0	92827.0	1861.0	4283.0	NA	censored_gf_below_50	NA	1303.0	36.601	1.03	0.0	NA	74533.0	degenerate	149.1	ok
Lambda	NC_001416	ont	15	30	456	kmer	122	69036	45	1926	2256317	45.0	33147.0	717.0	1926.0	592.0	measured	717.0	1925.0	55.371	1.234	1.0	NA	0.0	partial	119.047	ok
Lambda	NC_001416	ont	15	50	42	kmer	219	127006	76	4398	3936324	76.0	88631.0	1457.0	4398.0	1559.0	measured	731.0	4398.0	85.978	1.381	0.0	NA	30942.0	partial	175.057	ok
Lambda	NC_001416	ont	15	50	123	kmer	204	117698	158	3653	3798761	158.0	180112.0	1301.0	3653.0	1088.0	measured	NA	2849.0	83.067	1.176	0.0	NA	132685.0	partial	276.173	ok
Lambda	NC_001416	ont	15	50	456	kmer	196	122270	65	2356	3790957	65.0	67245.0	1143.0	2356.0	1509.0	measured	1143.0	2356.0	88.959	1.556	0.0	NA	0.0	partial	144.977	ok
Lambda	NC_001416	ont	15	100	42	kmer	416	261181	76	8224	7434760	76.0	108433.0	1974.0	8224.0	2985.0	measured	1539.0	8210.0	97.953	1.757	0.0	NA	24893.0	partial	862.381	ok
Lambda	NC_001416	ont	15	100	123	kmer	422	246914	224	11491	7245093	224.0	244078.0	1228.0	11491.0	5391.0	measured	NA	11486.0	98.901	1.662	1.0	NA	164283.0	substantial	479.155	ok
Lambda	NC_001416	ont	15	100	456	kmer	406	252396	144	9198	7321280	144.0	174827.0	1424.0	9198.0	5947.0	measured	NA	9198.0	98.781	1.686	0.0	NA	94029.0	substantial	583.325	ok
Lambda	NC_001416	ont	21	10	42	kmer	45	20224	2	4682	1062243	2.0	9364.0	4682.0	4682.0	NA	censored_no_alignment	NA	NA	NA	NA	NA	NA	9364.0	degenerate	27.95	ok
Lambda	NC_001416	ont	21	10	123	kmer	42	19320	2	16434	1031878	2.0	32868.0	16434.0	16434.0	NA	censored_no_alignment	NA	NA	NA	NA	NA	NA	32868.0	degenerate	16.91	ok
Lambda	NC_001416	ont	21	10	456	kmer	48	21669	0	416	1125069	NA	NA	NA	NA	NA	no_contigs_ge_min	NA	NA	NA	NA	NA	NA	NA	degenerate	27.34	ok
Lambda	NC_001416	ont	21	30	42	kmer	139	55059	24	4682	2797516	24.0	24722.0	853.0	4682.0	NA	censored_gf_below_50	584.0	1164.0	31.663	1.0	0.0	NA	9364.0	degenerate	109.256	ok
Lambda	NC_001416	ont	21	30	123	kmer	120	52722	25	21914	2747800	25.0	93893.0	16434.0	21914.0	NA	censored_gf_below_50	NA	1094.0	24.323	1.006	0.0	NA	82022.0	degenerate	159.515	ok
Lambda	NC_001416	ont	21	30	456	kmer	122	53271	32	1576	2692623	32.0	22228.0	682.0	1576.0	NA	censored_gf_below_50	682.0	1576.0	39.444	1.161	0.0	NA	0.0	degenerate	128.509	ok
Lambda	NC_001416	ont	21	50	42	kmer	219	97376	54	15775	4715454	54.0	88911.0	2182.0	15775.0	1039.0	measured	555.0	2276.0	80.543	1.227	0.0	NA	40914.0	partial	291.988	ok
Lambda	NC_001416	ont	21	50	123	kmer	204	90749	53	35647	4532129	53.0	196300.0	21914.0	35647.0	845.0	measured	NA	3760.0	72.855	1.097	0.0	NA	157496.0	partial	231.366	ok
Lambda	NC_001416	ont	21	50	456	kmer	196	93377	56	3079	4534929	56.0	54510.0	973.0	3079.0	1014.0	measured	973.0	3079.0	77.498	1.45	0.0	NA	0.0	partial	228.923	ok
Lambda	NC_001416	ont	21	100	42	kmer	416	206325	49	15775	9154056	49.0	122114.0	3292.0	15775.0	3197.0	measured	1460.0	6124.0	97.767	1.711	0.0	NA	40914.0	partial	1016.29	ok
Lambda	NC_001416	ont	21	100	123	kmer	422	196485	56	35647	8903429	56.0	313485.0	16434.0	35647.0	4647.0	measured	NA	10291.0	98.757	1.625	0.0	NA	235552.0	partial	537.819	ok
Lambda	NC_001416	ont	21	100	456	kmer	406	199579	42	37342	8988108	42.0	226490.0	12651.0	37342.0	4541.0	measured	NA	9183.0	99.617	1.67	0.0	NA	145784.0	partial	547.894	ok
Lambda	NC_001416	ont	31	10	42	kmer	45	13656	26	4682	1193605	26.0	24535.0	746.0	4682.0	NA	censored_no_alignment	NA	NA	NA	NA	NA	NA	24535.0	degenerate	32.995	ok
Lambda	NC_001416	ont	31	10	123	kmer	42	13058	31	16434	1154724	31.0	51116.0	16434.0	16434.0	NA	censored_no_alignment	NA	NA	NA	NA	NA	NA	51116.0	degenerate	20.164	ok
Lambda	NC_001416	ont	31	10	456	kmer	48	14219	34	915	1250747	34.0	22265.0	642.0	915.0	NA	censored_no_alignment	NA	NA	NA	NA	NA	NA	22265.0	degenerate	23.333	ok
Lambda	NC_001416	ont	31	30	42	kmer	139	36269	53	4682	3187343	53.0	39943.0	630.0	4682.0	NA	censored_gf_below_50	NA	758.0	9.773	1.001	0.0	NA	35195.0	degenerate	106.18	ok
Lambda	NC_001416	ont	31	30	123	kmer	120	35618	85	21920	3148624	85.0	136337.0	16434.0	21920.0	NA	censored_gf_below_50	NA	704.0	4.996	1.0	0.0	NA	133909.0	degenerate	183.974	ok
Lambda	NC_001416	ont	31	30	456	kmer	122	35736	95	2184	3093238	95.0	63267.0	620.0	2184.0	NA	censored_gf_below_50	NA	1442.0	14.482	1.0	0.0	NA	56245.0	degenerate	177.778	ok
Lambda	NC_001416	ont	31	50	42	kmer	219	64108	114	15775	5400370	114.0	117283.0	889.0	15775.0	552.0	measured	NA	1506.0	51.963	1.054	0.0	NA	90687.0	partial	302.98	ok
Lambda	NC_001416	ont	31	50	123	kmer	204	60240	162	35647	5187726	162.0	264181.0	16434.0	35647.0	539.0	measured	NA	1553.0	52.447	1.024	0.0	NA	238103.0	partial	243.102	ok
Lambda	NC_001416	ont	31	50	456	kmer	196	61292	185	2184	5187993	185.0	128247.0	664.0	2184.0	576.0	measured	NA	1566.0	50.788	1.234	0.0	NA	97825.0	partial	226.352	ok
Lambda	NC_001416	ont	31	100	42	kmer	416	138399	138	15775	10664798	138.0	161443.0	1356.0	15775.0	2356.0	measured	NA	8190.0	96.775	1.572	0.0	NA	87624.0	partial	1439.5	ok
Lambda	NC_001416	ont	31	100	123	kmer	422	135186	205	35647	10462322	205.0	407480.0	9978.0	35647.0	2451.0	measured	NA	10428.0	99.107	1.507	0.0	NA	335014.0	partial	1436.969	ok
Lambda	NC_001416	ont	31	100	456	kmer	406	135311	180	37373	10500825	180.0	311076.0	3349.0	37373.0	2556.0	measured	NA	4159.0	96.122	1.591	0.0	NA	236912.0	partial	1179.132	ok
