Experiment Accession	Experiment Title	Organism Name	Instrument	Submitter	Study Accession	Study Title	Sample Accession	Sample Title	Total Size, Mb	Total RUNs	Total Spots	Total Bases	Library Name	Library Strategy	Library Source	Library Selection	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	LibraryName	LibraryLayout	InsertSize	InsertDev	Platform	BioProject	Study_Pubmed_id	ProjectID	BioSample	SampleType	TaxID	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	+access	+submission_date	+publication_date	+last_update	altitude	env_feature	collection_date	sample number	sample_type	env_biome	lat_lon	geo_loc_name	isolation source	host	env_material
SRX4238430	DNA-seq of control samples	air metagenome	Illumina HiSeq 4000	Stanford University	SRP127288	Airborne exposures samples Raw sequence reads	SRS3435439		2868.38	1	30025730	8548952999	chaoexpo74_I5	WGS	METAGENOMIC	MDA	SRR7365464	2018-09-20 00:09:52	2018-06-19 14:15:07	30025730	8548952999	30025730	284	2868	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR007/365/SRR7365464.sralite.1	chaoexpo74_I5	PAIRED	0	0	ILLUMINA	PRJNA421162		421162	SAMN09454481	simple	655179							no					STANFORD UNIVERSITY	SRA724669		public	E8DFBF5A5F9F76DBF7CCA8672CCF4443	2F44720FFA7673EFB66C5D0E8232B728	public	2018-06-19T10:53:09.190	2018-09-20T12:37:48.860	2018-09-20T12:37:48.860	missing	missing	missing	18	DNA	missing	missing	missing	control	missing	missing
SRX4238429	DNA-seq of control samples	air metagenome	Illumina HiSeq 4000	Stanford University	SRP127288	Airborne exposures samples Raw sequence reads	SRS3435438		12397.13	1	97220863	28455885463	chaoexpo70_I5	WGS	METAGENOMIC	MDA	SRR7365465	2018-09-20 00:09:52	2018-06-19 14:51:46	97220863	28455885463	97220863	292	12397	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR007/365/SRR7365465.sralite.1	chaoexpo70_I5	PAIRED	0	0	ILLUMINA	PRJNA421162		421162	SAMN09454480	simple	655179							no					STANFORD UNIVERSITY	SRA724669		public	050C18EE9528087A8630321698288E24	97DE91ED6BC530A3949137756AD2E566	public	2018-06-19T10:53:09.173	2018-09-20T12:37:48.843	2018-09-20T12:37:48.843	missing	missing	missing	17	DNA	missing	missing	missing	control	missing	missing
SRX4238432	DNA-seq of control samples	air metagenome	Illumina HiSeq 4000	Stanford University	SRP127288	Airborne exposures samples Raw sequence reads	SRS3435440		5278.46	1	61174379	17779861944	chaoexpo66_I5	WGS	METAGENOMIC	MDA	SRR7365462	2018-09-20 00:09:52	2018-06-19 14:47:48	61174379	17779861944	61174379	290	5278	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/365/SRR7365462.sralite.1	chaoexpo66_I5	PAIRED	0	0	ILLUMINA	PRJNA421162		421162	SAMN09454479	simple	655179							no					STANFORD UNIVERSITY	SRA724669		public	57C5E52096B2DA3C04D99CF02BFDF0D0	21C5842CE5DDAB9D50005C7ACF816FAE	public	2018-06-19T10:53:09.157	2018-09-20T12:37:48.827	2018-09-20T12:37:48.827	missing	missing	missing	16	DNA	missing	missing	missing	control	missing	missing
SRX4238431	DNA-seq of control samples	air metagenome	Illumina HiSeq 4000	Stanford University	SRP127288	Airborne exposures samples Raw sequence reads	SRS3435458		4992.51	1	60172378	17577072161	chaoexpo62_I5	WGS	METAGENOMIC	MDA	SRR7365463	2018-09-20 00:09:52	2018-06-19 15:01:51	60172378	17577072161	60172378	292	4992	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR007/365/SRR7365463.sralite.1	chaoexpo62_I5	PAIRED	0	0	ILLUMINA	PRJNA421162		421162	SAMN09454478	simple	655179							no					STANFORD UNIVERSITY	SRA724669		public	FA7FDA084C9AA52E85D1F75BA2E6E806	598413E6BF266CC05498FF6E0AFE7C5E	public	2018-06-19T10:53:09.140	2018-09-20T12:37:48.810	2018-09-20T12:37:48.810	missing	missing	missing	15	DNA	missing	missing	missing	control	missing	missing
SRX4238434	DNA-seq of control samples	air metagenome	Illumina HiSeq 4000	Stanford University	SRP127288	Airborne exposures samples Raw sequence reads	SRS3435442		5939.45	1	46382285	13362701315	chaoexpo57_I5	WGS	METAGENOMIC	MDA	SRR7365460	2018-09-20 00:09:52	2018-06-19 15:12:22	46382285	13362701315	46382285	288	5939	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR007/365/SRR7365460.sralite.1	chaoexpo57_I5	PAIRED	0	0	ILLUMINA	PRJNA421162		421162	SAMN09454477	simple	655179							no					STANFORD UNIVERSITY	SRA724669		public	CFF5C03386E30056CA6CB0DC81FEA134	53658C63467E8C5004AE42E29D1A418E	public	2018-06-19T10:53:09.127	2018-09-20T12:37:48.797	2018-09-20T12:37:48.797	missing	missing	missing	14	DNA	missing	missing	missing	control	missing	missing
SRX4238433	DNA-seq of control samples	air metagenome	Illumina HiSeq 4000	Stanford University	SRP127288	Airborne exposures samples Raw sequence reads	SRS3435441		7505.34	1	75488734	22037194319	chaoexpo53_I5	WGS	METAGENOMIC	MDA	SRR7365461	2018-09-20 00:09:52	2018-06-19 15:13:45	75488734	22037194319	75488734	291	7505	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/365/SRR7365461.sralite.1	chaoexpo53_I5	PAIRED	0	0	ILLUMINA	PRJNA421162		421162	SAMN09454476	simple	655179							no					STANFORD UNIVERSITY	SRA724669		public	E937BC414A345BBAE35A4DB5BB397F22	85A017D8D13EC4345CF654C7B54922D8	public	2018-06-19T10:53:09.110	2018-09-20T12:37:48.780	2018-09-20T12:37:48.780	missing	missing	missing	13	DNA	missing	missing	missing	control	missing	missing
SRX4238436	DNA-seq of control samples	air metagenome	Illumina HiSeq 4000	Stanford University	SRP127288	Airborne exposures samples Raw sequence reads	SRS3435444		6128.38	1	59529582	17471092220	chaoexpo49_I5	WGS	METAGENOMIC	MDA	SRR7365458	2018-09-20 00:09:52	2018-06-19 15:06:52	59529582	17471092220	59529582	293	6128	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR007/365/SRR7365458.sralite.1	chaoexpo49_I5	PAIRED	0	0	ILLUMINA	PRJNA421162		421162	SAMN09454475	simple	655179							no					STANFORD UNIVERSITY	SRA724669		public	0349077349E82560B54310E1456C2D87	D34DA617BBD6B896542C1D2B2DB49232	public	2018-06-19T10:53:09.093	2018-09-20T12:37:48.767	2018-09-20T12:37:48.767	missing	missing	missing	12	DNA	missing	missing	missing	control	missing	missing
SRX4238435	DNA-seq of control samples	air metagenome	Illumina HiSeq 4000	Stanford University	SRP127288	Airborne exposures samples Raw sequence reads	SRS3435443		110.41	1	972781	281721946	chaoexpo45_I5	WGS	METAGENOMIC	MDA	SRR7365459	2018-09-20 00:09:52	2018-06-19 13:35:58	972781	281721946	972781	289	110	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR007/365/SRR7365459.sralite.1	chaoexpo45_I5	PAIRED	0	0	ILLUMINA	PRJNA421162		421162	SAMN09454474	simple	655179							no					STANFORD UNIVERSITY	SRA724669		public	F5E2B68A7D01FE788C1FAF2D20CCBE31	C8A7649BB8202FE338857BA861B05ABC	public	2018-06-19T10:53:09.077	2018-09-20T12:37:48.750	2018-09-20T12:37:48.750	missing	missing	missing	11	DNA	missing	missing	missing	control	missing	missing
SRX4238410	DNA-seq of control samples	air metagenome	Illumina HiSeq 4000	Stanford University	SRP127288	Airborne exposures samples Raw sequence reads	SRS3435419		9355.62	1	102530764	30058126534	chaoexpo41_I5	WGS	METAGENOMIC	MDA	SRR7365484	2018-09-20 00:09:51	2018-06-19 17:31:16	102530764	30058126534	102530764	293	9355	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR007/365/SRR7365484.sralite.1	chaoexpo41_I5	PAIRED	0	0	ILLUMINA	PRJNA421162		421162	SAMN09454473	simple	655179							no					STANFORD UNIVERSITY	SRA724669		public	A659AF8CB631DB632D9FE068506432EB	36DF0BA279D91FF1DEDD0B2EE70685EE	public	2018-06-19T10:53:09.063	2018-09-20T12:37:48.750	2018-09-20T12:37:48.750	missing	missing	missing	10	DNA	missing	missing	missing	control	missing	missing
SRX4238409	DNA-seq of control samples	air metagenome	Illumina HiSeq 4000	Stanford University	SRP127288	Airborne exposures samples Raw sequence reads	SRS3435418		7598.62	1	58574172	17117950655	chaoexpo37_I5	WGS	METAGENOMIC	MDA	SRR7365485	2018-09-20 00:09:51	2018-06-19 14:30:55	58574172	17117950655	58574172	292	7598	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR007/365/SRR7365485.sralite.1	chaoexpo37_I5	PAIRED	0	0	ILLUMINA	PRJNA421162		421162	SAMN09454472	simple	655179							no					STANFORD UNIVERSITY	SRA724669		public	F62BF9FDFF59D163C8CBA9C09047B571	E60BC9D992634459F21657448CEFCBA5	public	2018-06-19T10:53:09.047	2018-09-20T12:37:48.733	2018-09-20T12:37:48.733	missing	missing	missing	9	DNA	missing	missing	missing	control	missing	missing
SRX4238414	DNA-seq of control samples	air metagenome	Illumina HiSeq 4000	Stanford University	SRP127288	Airborne exposures samples Raw sequence reads	SRS3435423		1985.08	1	22566843	6556451577	chaoexpo35_I5	WGS	METAGENOMIC	MDA	SRR7365480	2018-09-20 00:09:51	2018-06-19 17:04:40	22566843	6556451577	22566843	290	1985	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR007/365/SRR7365480.sralite.1	chaoexpo35_I5	PAIRED	0	0	ILLUMINA	PRJNA421162		421162	SAMN09454471	simple	655179							no					STANFORD UNIVERSITY	SRA724669		public	1EAE484296CF8B55B13AB0FD88E9CFDA	4D0EDF86D58DF1C4EC76E8D9E48C7CFA	public	2018-06-19T10:53:09.030	2018-09-20T12:37:48.720	2018-09-20T12:37:48.720	missing	missing	missing	8	DNA	missing	missing	missing	control	missing	missing
SRX4238413	DNA-seq of control samples	air metagenome	Illumina HiSeq 4000	Stanford University	SRP127288	Airborne exposures samples Raw sequence reads	SRS3435422		6452.25	1	64350942	18973893750	chaoexpo33_I5	WGS	METAGENOMIC	MDA	SRR7365481	2018-09-20 00:09:51	2018-06-19 14:44:38	64350942	18973893750	64350942	294	6452	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/365/SRR7365481.sralite.1	chaoexpo33_I5	PAIRED	0	0	ILLUMINA	PRJNA421162		421162	SAMN09454470	simple	655179							no					STANFORD UNIVERSITY	SRA724669		public	EBFBCC982F23699110581C287520549F	F648D65911F9B8180D652375CF0C8F13	public	2018-06-19T10:53:09.013	2018-09-20T12:37:48.703	2018-09-20T12:37:48.703	missing	missing	missing	7	DNA	missing	missing	missing	control	missing	missing
SRX4238412	DNA-seq of control samples	air metagenome	Illumina HiSeq 4000	Stanford University	SRP127288	Airborne exposures samples Raw sequence reads	SRS3435420		6390.46	1	55467899	16376709920	chaoexpo31_I5	WGS	METAGENOMIC	MDA	SRR7365482	2018-09-20 00:09:51	2018-06-19 14:44:53	55467899	16376709920	55467899	295	6390	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/365/SRR7365482.sralite.1	chaoexpo31_I5	PAIRED	0	0	ILLUMINA	PRJNA421162		421162	SAMN09454469	simple	655179							no					STANFORD UNIVERSITY	SRA724669		public	5C89D85BED0FD9414735C8AD28F6CE67	6B413FEFB418E6B2340E229988CBBB88	public	2018-06-19T10:53:09.000	2018-09-20T12:37:48.687	2018-09-20T12:37:48.687	missing	missing	missing	6	DNA	missing	missing	missing	control	missing	missing
SRX4238411	DNA-seq of control samples	air metagenome	Illumina HiSeq 4000	Stanford University	SRP127288	Airborne exposures samples Raw sequence reads	SRS3435421		4014.83	1	49708787	14749943987	chaoexpo29_I5	WGS	METAGENOMIC	MDA	SRR7365483	2018-09-20 00:09:51	2018-06-19 14:54:41	49708787	14749943987	49708787	296	4014	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR007/365/SRR7365483.sralite.1	chaoexpo29_I5	PAIRED	0	0	ILLUMINA	PRJNA421162		421162	SAMN09454468	simple	655179							no					STANFORD UNIVERSITY	SRA724669		public	6E8FA731F7CFE30840392705E0B9459D	A25CC5635E731F22C5E3AFDE9436857B	public	2018-06-19T10:53:08.980	2018-09-20T12:37:48.670	2018-09-20T12:37:48.670	missing	missing	missing	5	DNA	missing	missing	missing	control	missing	missing
SRX4238418	DNA-seq of control samples	air metagenome	Illumina HiSeq 4000	Stanford University	SRP127288	Airborne exposures samples Raw sequence reads	SRS3435427		1967.32	1	21803325	6418430268	chaoexpo27_I5	WGS	METAGENOMIC	MDA	SRR7365476	2018-09-20 00:09:51	2018-06-19 14:03:39	21803325	6418430268	21803325	294	1967	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR007/365/SRR7365476.sralite.1	chaoexpo27_I5	PAIRED	0	0	ILLUMINA	PRJNA421162		421162	SAMN09454467	simple	655179							no					STANFORD UNIVERSITY	SRA724669		public	9A6469ED936E8DA1B133F98C50B224A3	F3A1FFAD2AED52189EFCD26D145BBA50	public	2018-06-19T10:53:08.967	2018-09-20T12:37:48.657	2018-09-20T12:37:48.657	missing	missing	missing	4	DNA	missing	missing	missing	control	missing	missing
SRX4238417	DNA-seq of control samples	air metagenome	Illumina HiSeq 4000	Stanford University	SRP127288	Airborne exposures samples Raw sequence reads	SRS3435426		4803.14	1	58614986	17237960577	chaoexpo25_I5	WGS	METAGENOMIC	MDA	SRR7365477	2018-09-20 00:09:51	2018-06-19 15:25:04	58614986	17237960577	58614986	294	4803	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/365/SRR7365477.sralite.1	chaoexpo25_I5	PAIRED	0	0	ILLUMINA	PRJNA421162		421162	SAMN09454466	simple	655179							no					STANFORD UNIVERSITY	SRA724669		public	49A067B9660802E6D105F5AEDFD1A500	8CDBBAD66068A16363B96B6433107044	public	2018-06-19T10:53:08.950	2018-09-20T12:37:48.640	2018-09-20T12:37:48.640	missing	missing	missing	3	DNA	missing	missing	missing	control	missing	missing
SRX4238416	DNA-seq of control samples	air metagenome	Illumina HiSeq 4000	Stanford University	SRP127288	Airborne exposures samples Raw sequence reads	SRS3435425		3985.98	1	49895065	14752439695	chaoexpo23_I5	WGS	METAGENOMIC	MDA	SRR7365478	2018-09-20 00:09:51	2018-06-19 14:52:14	49895065	14752439695	49895065	295	3985	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/365/SRR7365478.sralite.1	chaoexpo23_I5	PAIRED	0	0	ILLUMINA	PRJNA421162		421162	SAMN09454465	simple	655179							no					STANFORD UNIVERSITY	SRA724669		public	4B5F7DC5938CFD8E5999C91D444A8F92	E7E134E4D4AD9FFBBEF71450E96BC301	public	2018-06-19T10:53:08.933	2018-09-20T12:37:48.623	2018-09-20T12:37:48.623	missing	missing	missing	2	DNA	missing	missing	missing	control	missing	missing
SRX4238415	DNA-seq of control samples	air metagenome	Illumina HiSeq 4000	Stanford University	SRP127288	Airborne exposures samples Raw sequence reads	SRS3435424		7298.67	1	69653711	18948930862	chaoexpo21_I5	WGS	METAGENOMIC	MDA	SRR7365479	2018-09-20 00:09:51	2018-06-19 15:03:34	69653711	18948930862	69653711	272	7298	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR007/365/SRR7365479.sralite.1	chaoexpo21_I5	PAIRED	0	0	ILLUMINA	PRJNA421162		421162	SAMN09454464	simple	655179							no					STANFORD UNIVERSITY	SRA724669		public	44C0F8EE79B433947B41D2ED9308391B	E61DB492910DC9F74877CDFD1E165905	public	2018-06-19T10:53:08.907	2018-09-20T12:37:48.610	2018-09-20T12:37:48.610	missing	missing	missing	1	DNA	missing	missing	missing	control	missing	missing
SRX3492768	RNA-seq of air samples	air metagenome	Illumina HiSeq 4000	Stanford University	SRP127288	Airborne exposures samples Raw sequence reads	SRS2776369		5616.52	1	42440276	12360699588	xinexpo67_I5	WGS	METATRANSCRIPTOMIC	cDNA	SRR6399679	2018-09-20 00:09:40	2017-12-20 22:53:20	42440276	12360699588	42440276	291	5616	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/399/SRR6399679.sralite.1	xinexpo67_I5	PAIRED	0	0	ILLUMINA	PRJNA421162		421162	SAMN08216256	simple	655179							no					STANFORD UNIVERSITY	SRA640713		public	91C6C0771B991EBF33A9F1E27B48A670	472D89C959F0C177851942483890494B	public	2017-12-20T15:50:17.536	2018-09-20T00:00:00.000	2021-02-28T05:15:18.449	51	air filter	2017-02-02	566	RNA	air filter	37.40988969 N 122.1593497 W	USA:california,Palo Alto	missing	missing	air
