"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX3493185","RNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776786","","6064.25","1","47530308","13985795036","xinexpo24_I6","WGS","METATRANSCRIPTOMIC","cDNA"
"SRX3493184","RNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776783","","4200.28","1","40105636","11455248562","xinexpo26_I6","WGS","METATRANSCRIPTOMIC","cDNA"
"SRX3493183","RNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776784","","6596.35","1","54903627","16131495072","xinexpo22_I15","WGS","METATRANSCRIPTOMIC","cDNA"
"SRX3493182","RNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776785","","5433.96","1","37816151","10347975310","xinexpo70_I6","WGS","METATRANSCRIPTOMIC","cDNA"
"SRX3493181","RNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776781","","8731.72","1","63095955","18568800870","xinexpo32_I6","WGS","METATRANSCRIPTOMIC","cDNA"
"SRX3493180","RNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776782","","5488.75","1","39722793","11017416763","xinexpo71_I6","WGS","METATRANSCRIPTOMIC","cDNA"
"SRX3493179","RNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776780","","4979.11","1","38342992","9987804988","xinexpo62_I15","WGS","METATRANSCRIPTOMIC","cDNA"
"SRX3493178","RNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776779","","4773","1","33146384","8947093731","xinexpo70_I15","WGS","METATRANSCRIPTOMIC","cDNA"
"SRX3493177","RNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776778","","4059.2","1","28600967","8023355159","xinexpo71_I5","WGS","METATRANSCRIPTOMIC","cDNA"
"SRX3493176","RNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776776","","8221.64","1","64737561","18748834502","xinexpo52_I6","WGS","METATRANSCRIPTOMIC","cDNA"
"SRX3493175","RNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776777","","4572.58","1","31274080","8936670113","xinexpo62_I12","WGS","METATRANSCRIPTOMIC","cDNA"
"SRX3493174","RNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776774","","8477.71","1","62884428","18187843177","xinexpo56_I15","WGS","METATRANSCRIPTOMIC","cDNA"
"SRX3493173","RNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776775","","5762.86","1","40074762","11004106094","xinexpo70_I12","WGS","METATRANSCRIPTOMIC","cDNA"
"SRX3493172","RNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776773","","7782.05","1","53771784","15230315401","xinexpo75_I5","WGS","METATRANSCRIPTOMIC","cDNA"
"SRX3493171","RNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776768","","5361.31","1","43849046","12935953821","xinexpo10_I15","WGS","METATRANSCRIPTOMIC","cDNA"
"SRX3493170","RNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776772","","9048.22","1","63147254","17686447463","xinexpo75_I15","WGS","METATRANSCRIPTOMIC","cDNA"
"SRX3493169","RNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776771","","5930.08","1","44288869","12222427812","xinexpo72_I12","WGS","METATRANSCRIPTOMIC","cDNA"
"SRX3493168","RNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776767","","6520.24","1","47652121","13691380221","xinexpo64_I6","WGS","METATRANSCRIPTOMIC","cDNA"
"SRX3493167","RNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776770","","5445.07","1","36509798","10510888561","xinexpo68_I6","WGS","METATRANSCRIPTOMIC","cDNA"
"SRX3493166","RNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776765","","7159.05","1","53241913","14300912347","xinexpo76_I15","WGS","METATRANSCRIPTOMIC","cDNA"
"SRX3493165","RNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776769","","5392.03","1","38471014","10674847365","xinexpo72_I6","WGS","METATRANSCRIPTOMIC","cDNA"
"SRX3493164","RNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776766","","5027.35","1","32954670","9575814328","xinexpo68_I12","WGS","METATRANSCRIPTOMIC","cDNA"
"SRX3493163","RNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776763","","7682.8","1","60871256","17351745483","xinexpo48_I12","WGS","METATRANSCRIPTOMIC","cDNA"
"SRX3493162","RNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776764","","4749.63","1","34198475","9276863328","xinexpo68_I5","WGS","METATRANSCRIPTOMIC","cDNA"
"SRX3493161","RNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776762","","3560","1","28286399","8152749564","xinexpo48_I15","WGS","METATRANSCRIPTOMIC","cDNA"
"SRX3493160","RNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776758","","5236.68","1","38093657","10961172437","xinexpo64_I5","WGS","METATRANSCRIPTOMIC","cDNA"
"SRX3493159","DNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776761","","8562.73","1","63896558","18873938223","chaoexpo41_I15","WGS","METAGENOMIC","MDA"
"SRX3493158","DNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776760","","10050.35","1","79033441","23166954679","chaoexpo19_I12","WGS","METAGENOMIC","MDA"
"SRX3493157","DNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776759","","7304.03","1","98275953","29187619010","chaoexpo29_I15","WGS","METAGENOMIC","MDA"
"SRX3493156","DNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776757","","4923.58","1","59276357","16126180890","chaoexpo33_I15","WGS","METAGENOMIC","MDA"
"SRX3493155","DNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776756","","12346.51","1","91219973","26720742346","chaoexpo38_I6","WGS","METAGENOMIC","MDA"
"SRX3493154","DNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776754","","6902.94","1","68781790","20118871673","chaoexpo38_I12","WGS","METAGENOMIC","MDA"
"SRX3493153","DNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776755","","8951.85","1","74776004","22149677110","chaoexpo01_I15","WGS","METAGENOMIC","MDA"
"SRX3493152","DNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776752","","9676.57","1","74185001","21968665459","chaoexpo17_I15","WGS","METAGENOMIC","MDA"
"SRX3493151","DNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776751","","9511.19","1","83496166","24759607094","chaoexpo31_I6","WGS","METAGENOMIC","MDA"
"SRX3493150","DNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776748","","5652.64","1","54732633","15704903723","chaoexpo05_I15","WGS","METAGENOMIC","MDA"
"SRX3493149","RNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776749","","4830.22","1","42336963","12417359053","xinexpo25_I15","WGS","METATRANSCRIPTOMIC","cDNA"
"SRX3493148","RNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776750","","4978.56","1","40493273","11962863197","xinexpo31_I6","WGS","METATRANSCRIPTOMIC","cDNA"
"SRX3493147","RNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776747","","5246.29","1","43148063","12557854476","xinexpo38_I12","WGS","METATRANSCRIPTOMIC","cDNA"
"SRX3493146","RNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776753","","5052.74","1","41838172","11559105407","xinexpo29_I15","WGS","METATRANSCRIPTOMIC","cDNA"
"SRX3493145","DNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776746","","4509.46","1","40448862","12034055878","chaoexpo24_I12","WGS","METAGENOMIC","MDA"
"SRX3493144","DNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776745","","5707.83","1","49422187","14620560266","chaoexpo26_I12","WGS","METAGENOMIC","MDA"
"SRX3493143","DNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776739","","7450.26","1","63233198","18781515509","chaoexpo54_I6","WGS","METAGENOMIC","MDA"
"SRX3493142","DNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776744","","5263.96","1","42038359","12483955224","chaoexpo16_I12","WGS","METAGENOMIC","MDA"
"SRX3493141","DNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776741","","4733.46","1","42947287","12629508234","chaoexpo43_I12","WGS","METAGENOMIC","MDA"
"SRX3493140","DNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776743","","8511.88","1","80905313","23122279755","chaoexpo04_I12","WGS","METAGENOMIC","MDA"
"SRX3493139","DNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776737","","7903.34","1","67977803","19716256451","chaoexpo22_I5","WGS","METAGENOMIC","MDA"
"SRX3493138","DNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776742","","7218.98","1","55221273","16397722701","chaoexpo18_I12","WGS","METAGENOMIC","MDA"
"SRX3493137","DNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776738","","8065.68","1","64558662","18505860190","chaoexpo12_I5","WGS","METAGENOMIC","MDA"
"SRX3493136","DNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776740","","9747.82","1","75331630","22299582713","chaoexpo14_I5","WGS","METAGENOMIC","MDA"
"SRX3493135","DNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776733","","9752.02","1","82285688","23526383381","chaoexpo52_I6","WGS","METAGENOMIC","MDA"
"SRX3493134","DNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776736","","5932.72","1","52550690","15395530160","chaoexpo62_I15","WGS","METAGENOMIC","MDA"
"SRX3493133","DNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776735","","6910.22","1","51474292","15053515252","chaoexpo70_I15","WGS","METAGENOMIC","MDA"
"SRX3493132","DNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776732","","5837.28","1","45269189","13279048663","chaoexpo70_I12","WGS","METAGENOMIC","MDA"
"SRX3493131","DNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776734","","6749.78","1","54556050","16110757683","chaoexpo76_I5","WGS","METAGENOMIC","MDA"
"SRX3493130","DNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776731","","9496.94","1","82516710","24439685015","chaoexpo32_I6","WGS","METAGENOMIC","MDA"
"SRX3493129","DNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776728","","7298.01","1","57706690","17106699268","chaoexpo71_I6","WGS","METAGENOMIC","MDA"
"SRX3493128","DNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776727","","4855.28","1","37631632","11107261532","chaoexpo71_I5","WGS","METAGENOMIC","MDA"
"SRX3493127","DNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776730","","5613.97","1","51132024","15011965372","chaoexpo63_I5","WGS","METAGENOMIC","MDA"
"SRX3493126","DNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776729","","8612.23","1","71048240","21023042370","chaoexpo71_I12","WGS","METAGENOMIC","MDA"
"SRX3493125","RNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776725","","4488.95","1","31709939","9232073047","xinexpo57_I12","WGS","METATRANSCRIPTOMIC","cDNA"
"SRX3493124","RNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776724","","5278.57","1","37206202","10558581890","xinexpo57_I15","WGS","METATRANSCRIPTOMIC","cDNA"
"SRX3493123","RNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776726","","7924.3","1","63911198","17710302284","xinexpo47_I12","WGS","METATRANSCRIPTOMIC","cDNA"
"SRX3493122","RNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776723","","8127.26","1","66219221","19595393753","xinexpo10_I6","WGS","METATRANSCRIPTOMIC","cDNA"
"SRX3493121","RNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776720","","4929.59","1","35763278","10120386475","xinexpo58_I15","WGS","METATRANSCRIPTOMIC","cDNA"
"SRX3493120","RNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776722","","4707.41","1","33856368","9835173460","xinexpo59_I5","WGS","METATRANSCRIPTOMIC","cDNA"
"SRX3493119","RNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776721","","6535.45","1","48683736","13999741338","xinexpo58_I12","WGS","METATRANSCRIPTOMIC","cDNA"
"SRX3493118","RNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776718","","5818.45","1","41470286","11800550450","xinexpo59_I15","WGS","METATRANSCRIPTOMIC","cDNA"
"SRX3493117","RNA-seq of air samples","air metagenome","Illumina HiSeq 4000","Stanford University","SRP127288","Airborne exposures samples Raw sequence reads","SRS2776717","","6387.5","1","50648673","14901464178","xinexpo08_I12","WGS","METATRANSCRIPTOMIC","cDNA"
